Fecha,Destino,All_aboard,Cantidad de Fallecidos,Operador,Ac_type,passenger_fatalities,crew_fatalities
1933-07-18,Aegean Sea,6,6,Societa Anonima Aero Expresso Italiana,CMASA Wal (flying boat),2,4
1933-08-29,"Quay, New Mexico",5,5,Trans Continental and Western Air,Ford 5-AT-B Tri Motor,3,2
1933-09-12,"Near Ljubljana, Yugoslavia",8,8,Aeroput,Farman F-306,6,2
1933-10-10,"Chesterton, Indiana",10,10,United Air Lines,Boeing 247,7,3
1933-10-31,"Etobon, France",5,2,Air France,Farman F-301,1,1
1933-11-09,"Portland, Oregon",10,4,United Air Lines,Boeing 247,3,1
1933-11-10,"Moriarty, New Mexico",1,0,Trans Continental and Western Air,Northrop Delta,0,0
1933-11-20,"Near Tsinan, China",8,8,China National Aviation Corporation,Stinson,7,1
1933-11-21,"Near Kharkov, Ukraine, USSR",20,14,Kalinin,Kalinin K-7,0,14
1933-11-24,"Wedron, Illinois",2,2,National Air Transport,Boeing 247,0,2
1933-12-11,"Hamburg, Germany",10,6,Deutsche Lufthansa,Focke-Wulf A-17,4,2
1933-12-14,"Eshowe, South Africa",6,5,Union Airways,Junkers W-34,3,2
1933-12-30,"Near Ruysselede, Belgium",10,10,Imperial Airways,Avro 10,8,2
1934-01-15,"Corbigny, France",14,14,Air France,Dewoitine D-332,10,4
1934-02-23,"Near Salt Lake City, Utah",8,8,Boeing Aircraft Company,Boeing 247,5,3
1934-03-10,"Pereira, Colombia",6,5,Pan American Airways (Scadta),Sikorsky S-38 Flying Boat,3,2
1934-03-22,"Near Lima, Peru",15,3,Pan American Grace Airlines,Ford 5-AT-C Tri-Motor,0,3
1934-04-10,"Ningpo Bay, China",3,3,China National Aviation Corporation,Sikorsky S-38BB,1,2
1934-05-09,English Channel,6,6,Air France,Wibault 282T,3,3
1934-05-31,"Croydon, England",2,2,Air France,Liore-et-Olivier 213,0,2
1934-06-09,"Mongaup Mountain, New York",7,7,American Airways,Curtiss Condor T-32,4,3
1934-06-11,"Junin, Argentina",10,6,Panagra,Ford 5-AT-C Tri-Motor,3,3
1934-06-22,"Chausseehausen, Germany",7,1,Deutsche Lufthansa,Dornier Merkur,0,1
1934-06-23,"Burbank, California",1,1,Aerevias Centrales Air Service,Lockheed Orion,0,1
1934-07-09,"San Bernardino, California",4,3,United Air Services,Lockheed Vega,2,1
1934-07-27,"Near Tuttlingen, Germany",12,12,Swissair,Curtiss AT-32C Condor,9,3
1934-08-05,"Bahia, Brazil",2,2,Air France,Latecoere 26,0,2
1934-08-31,"Amazonia, Missouri",5,5,Rapid Air Transport,Stinson  SM-6000B,4,1
1934-10-02,English Channel,7,7,Hillman's Airways,de havilland 89 Dragon Rapide,6,1
1934-10-03,"Near Winton, Australia",3,3,Qantas,de Havilland DH-50A,2,1
1934-10-19,"Bass Strait, Australia",11,11,Holymans Airways,de Havilland DH-86,9,2
1934-11-02,"Kiapit, Australia",4,2,Holdens Air Transport Service,De Havilland DH-61,2,0
1934-11-15,"Amazonia, Montana",2,2,Rapid Air Transport,Stinson SM-6000-B,0,2
1934-11-15,"Near Longreach, Australia",4,4,Qantas,de Havilland DH-86,3,1
1934-12-07,"Salchau, Germany",3,3,Deutsche Lufthansa,Junkers F-13,0,3
1934-12-08,"Columbia, Missouri",1,1,Braniff Airlines,Lockheed Vega 5C,0,1
1934-12-10,"Palma Soriano, Cuba",8,4,Cubana de Aviacion,Ford 4-AT-E Tri-motor,2,2
1934-12-20,"Rutbah Wells, Syria",7,7,KLM Royal Dutch Airlines,Douglas DC-2-115A,3,4
1934-12-22,"Sunbright, Tennessee",1,1,American Airlines,Lockheed Orion 9D,0,1
1935-01-08,"Near Karachi, Pakistan",2,0,Indian Air Force,Wapiti,0,2
1935-01-26,"Pittsburgh, Pennsylvania",1,1,Trans Continental and Western Air,Consolidated Fleetster,0,1
1935-01-31,"Stettin, Germany",11,11,Deruluft,Junkers JU-52/3m,8,3
1935-02-12,"Off Point Sur, Californiia",83,2,Military - US Navy,Goodyear-Zeppelin U.S.S. Macon (airship),0,2
1935-03-07,"Schievelbein, Germany",3,0,Deruluft,Rochrbach Roland,0,0
1935-03-15,"El Arish, Egypt",6,3,Misrair,de Havilland Dragon 1,2,1
1935-03-29,"Off Samland, Germany",5,5,Deutsche Lufthansa,Junkers F-13,0,5
1935-04-01,"Beauvais, France",3,1,Air France,Farman F-300,0,1
1935-04-06,"Brilon, Germany",7,7,KLM Royal Dutch Airlines,Fokker F-12,2,5
1935-05-01,"Near Walsenberg, Colorado",1,1,Varney Air Lines,Lockheed Vega,0,1
1935-05-06,"Atlanta, Missouri",14,5,Trans Continental and Western Air,Douglas DC-2-112,3,2
1935-05-18,"Near Moscow, Russia",50,50,Gor'ky Eskadril'ya,Tupolev ANT-20 / I-5,37,13
1935-05-18,"Flint, Michigan",12,3,Knowles Flying Service of Detroit,Ford model 4-AT-E,2,1
1935-05-27,"Glendo, Wyoming",1,1,Wyoming Air Service,Boeing 221,0,1
1935-05-28,"Maywood, Illinois",2,2,Chicago and Southern Airlines,Stinson SM6000B Tri-motor,1,1
1935-06-24,"Medellin, Colombia",20,17,Servicio Aereo Columbiano / SCADTA,Ford Tri-Motor / Ford Tri-Motor,15,2
1935-07-14,"Amsterdam, Netherlands",20,6,KLM Royal Dutch Airlines,Fokker F-XXII,2,4
1935-07-19,"Off Chandeleur Island, Mississippi",2,2,Wedell-Williams Air Service Corporation,General 102-E,1,1
1935-07-20,"Pian Giacomo, Switzerland",13,13,KLM Royal Dutch Airlines,Douglas DC-2,9,4
1935-07-23,"Cardiff, United Kingdom",8,1,Jersey Airways,de Havilland DH-84 Dragon,3,0
1935-07-28,"El Retiro, Colombia",5,5,Fuerza Aerea Colombiana,Junkers W-34,3,2
1935-08-07,"Cairo, Egypt",7,7,Ala Littoria,Savoia-Marchetti S-66,3,4
1935-08-14,"Near Gilmer, Texas",4,4,Delta Air Lines,Stinson Model A,3,1
1935-08-15,"Walakpa, near Point Barrow, Alaska",2,2,Private,Lockheed Orion 9E Explorer float plane,1,1
1935-08-15,"Near Glendo, Wyoming",3,3,Aero Mayflower Transit Co,"Waco, model YLC",2,1
1935-09-01,"Burbank, California",3,3,Western Air Express,Boeing 247,0,3
1935-09-13,"Near Tambo, Panama",8,8,Panama Airways,Ford Tri-Motor,7,1
1935-10-02,"Off Finders Island, Victoria, Australia",5,5,Holyman Airways,de Havilland DH-86,3,2
1935-10-07,"Near Cheyenne, Wyoming",12,12,United Air Lines,Boeing 247D,9,3
1935-10-09,Gulf of Finland,6,6,Aero O-Y,Junkers F-13,4,2
1935-10-21,"Troy, New York",6,1,Chamberlin Flying Service,Curtiss AT-32C Condor,0,1
1935-10-30,"Cheyenne, Wyoming",4,4,United Air Lines,Boeing B-247-D,0,4
1935-11-02,"Off Nhambupe, Brazil",4,4,Air France,Latécoère 28-1,0,4
1935-11-09,"Near Fort Worth, Texas",1,1,Braniff Airlines,Lockheed Vega,0,1
1935-11-09,"Brindisi, Italy",13,12,Imperial Airways,Short S-17 Kent,9,3
1935-11-11,"Istres, France",3,3,Air France,Latecoere 28,0,3
1935-12-04,"Tours, France",2,1,Air Bleu,Caudron C-630 Simoun,0,1
1935-12-10,"Croydon, England",11,11,Sabena,Savoia-Marchetti SM73,7,4
1935-12-24,"Wroctaw, Poland",3,3,Deutsche Lufthansa,Heinkel He-70,2,1
1935-12-31,"Off Alexandria, Egypt",13,12,Imperial Airways,Short S-8 Calcutta flying boat,9,1
1936-01-14,"Tres Esquinas, Colombia",16,13,Military - Fuerza Aerea Colombiana,Junkers JU-52,10,3
1936-01-14,"Goodwin, Arkansas",17,17,American Airlines,Douglas DC-2-120,14,3
1936-01-17,"Near Cordillera, Boliva",13,13,Lloyd Aereo Boliviano,Junkers JU-52,10,3
1936-01-21,"Off Ajaccio, Corsica, France",6,6,Air France,CAMS 53,3,3
1936-01-29,"Denton, Texas",6,1,American Airlines,Vultee V-1,0,1
1936-02-10,Atlantic Ocean,6,6,Air France,Latecoere 301 (flying boat),1,5
1936-02-15,South Atlantic Ocean,4,4,Deutsche Lufthansa,Dormier Do-J-Iif Bos Wal flying boat,0,4
1936-03-05,"Near Tengya, China",6,0,China National Aviation Corporation,Ford 5-AT-D Tri-Motor,0,0
1936-03-14,"Ovalle, Chile",5,5,Lan Chile,Fairchild FC-2,4,1
1936-03-26,"Amemeca, Mexico",14,14,Mexicana,Ford 5-AT-B Tri Motor,10,4
1936-04-01,"Pavillon, New York",2,2,American Airlines,Stinson Model A,0,2
1936-04-07,"Uniontown, Pennsylvania",14,12,Trans Continental and Western Air,Douglas DC-2-112,10,2
1936-04-11,"Port of Spain, Trinidad",25,3,Pan American Airways,Sikorsky S-42A  Flying Boat,2,1
1936-04-15,"Near Turin, Italy",7,7,Avio Linee Italiane,OFM F-VIIb/3m,5,2
1936-04-17,"Orvin, Switzerland",5,3,Deutsche Lufthansa,Junkers JU-52,0,3
1936-04-21,"Senlis, France",2,2,Sabena,Fokker F-VII,0,2
1936-04-30,"Basel, Switzerland",2,2,Swissair,General Aviation GA-43,0,2
1936-05-16,"Mount Waverley, Australia",2,2,Holymans Airways,De Havilland DH-60 Moth,0,2
1936-06-09,"Malmo, Sweden",15,1,A B Aerotransport,Fokker F-XXII,1,0
1936-06-13,"Hannover, Germany",6,1,Deutsche Lufthansa,Junkers JU-160,1,0
1936-06-16,"Mt. Lihesten, Norway",7,7,Den Norske Luftfartskole,Junkers JU-52/3m,3,4
1936-07-15,"Zagreb, Croatia",7,7,Aeroput,Spartan Cruiser,5,2
1936-07-28,"Kulyab, Tajikistan",6,6,Aeroflot,Tupolev ANT-9,4,2
1936-07-31,"Off Channel Islands, Jersey",10,10,Guernsey Airways,Saro A-19 Cloud,8,2
1936-08-02,"Mazamet, France",3,3,Air France,Wibault 280,0,3
1936-08-03,"Ciudad Serdan,Mexico",1,1,Mexicana,Lockheed 9 Orion,0,1
1936-08-05,"St. Louis, Missouri",8,8,Chicago Southern Airlines,Lockheed 10B Electra,6,2
1936-08-06,"Choco, Colombia",3,2,SCADTA,Junkers F-13,1,1
1936-08-12,"Altenkirchen, Germany",2,2,British Airways,De Havilland DH-86,0,2
1936-08-22,"Mirabella, Greece",11,2,Imperial Airways,Short S-17 Kent,2,0
1936-09-05,"Near Pittsburgh, Pennsylvania",11,10,Pittsburgh Skyways Inc.,Stinson SM 6000B,9,1
1936-09-24,"Benghazi, Libya",10,9,Ala Littoria SA,CRDA CANT Z-506,7,2
1936-09-25,English Channel,2,2,Imperial Airways,Boulton and Paul P-71,0,2
1936-09-28,"Walsenberg, Colorado",3,3,Varney Air Lines,Lockheed  5 Vega,1,2
1936-09-29,"Napierville, Illinois",4,4,Blue Bird Air Service,Lockheed Vega 5C,3,1
1936-10-06,"Francisco Rueda,  Tabasco, Mexico",1,1,Mexicana,Lockheed Orion,0,1
1936-10-09,"Selby, North Yorkshire, United Kingdom",1,1,North Sea Aerial and General Transport,Blackburn B-2,0,1
1936-11-01,"Near Tabarz, Germany",15,11,Deutsche Lufthansa,Junkers JU-52,8,3
1936-11-17,"Nurnberg, Germany",16,4,Deutsche Lufthansa,Junkers JU-52/3m,3,1
1936-11-19,"London, England",4,2,British Airways,Fokker F-XII,0,2
1936-12-04,"Near Grenoble, France",6,6,Deutsche Lufthansa,Junkers JU-52/3m,3,3
1936-12-06,"Near Moscow, Russia",14,9,Deruluft,Antonov AN-9,7,2
1936-12-07,"Off Dakar, French West Africa",5,5,Air France,Latécoère 300 (float plane.,1,4
1936-12-09,"Croydon, England",17,15,KLM Royal Dutch Airlines,Douglas DC-2-115E,12,3
1936-12-15,"Near Salt Lake City, Utah",7,7,Western Air Express,Boeing 247D,4,3
1936-12-18,"Kellogg, Idaho",2,2,Northwest Orient Airlines,Lockheed 10 Electra,0,2
1936-12-19,"Near Milford, Pennsylvania",11,0,Eastern Air Lines,Douglas DC-2-112,0,0
1936-12-23,"Near Dallas, Texas",6,6,Braniff Airways,Lockheed 10 Electra,4,2
1936-12-27,"Newhall, California",12,12,United Air Lines,Boeing 247D,10,2
1937-01-11,"Near Playa V icente, Veracruz, Mexico",9,9,Mexicana,Lockheed 10E Electra,6,3
1937-01-12,"Near Newhall, California",13,5,Western Air Express,Boeing 247D,4,1
1937-01-26,"Oran, Algeria",12,12,Sabena,Sabca S-73,8,4
1937-02-09,"Off San Francisco, California",11,11,United Air Lines,Douglas DC-3A,9,2
1937-02-19,"McPherson Ranges, Queensland, Australia",7,5,Airlines of Australia,Stinson Model A,3,2
